Week,Date,Channel,Content pillar,Working title,Format,Primary CTA,Status
1,Monday,LinkedIn,Education,Three signs your workflow needs a reset,Carousel,Save this checklist,Idea
1,Wednesday,Instagram,Behind the scenes,How we plan a focused week,Reel,Follow for the next field note,Idea
1,Friday,Newsletter,Story,What we changed after listening to customers,Essay,Reply with your biggest blocker,Idea
2,Monday,LinkedIn,Product,The one feature that removed a daily handoff,Text post,Read the case study,Idea
2,Wednesday,Instagram,Education,A five-minute audit for your content system,Carousel,Share with your team,Idea
2,Friday,Newsletter,Curated,Three tools we actually use,Roundup,Explore the resource list,Idea
3,Monday,LinkedIn,Opinion,Consistency is not the same as repetition,Text post,Join the discussion,Idea
3,Wednesday,Instagram,Proof,Before and after: a cleaner briefing process,Carousel,See the template,Idea
3,Friday,Newsletter,Story,A note from the build room,Essay,Forward to a thoughtful teammate,Idea
4,Monday,LinkedIn,Education,The quiet cost of unclear ownership,Carousel,Download the worksheet,Idea
4,Wednesday,Instagram,Community,Reader question: where should we start?,Question,Send us your question,Idea
4,Friday,Newsletter,Recap,The month in four useful links,Roundup,Open the library,Idea
